"Sex","Province or County","CensusYear","Statistic Label","UNIT","VALUE"
"Male","Meath","1966","Population","Number","34877"
"Male","Meath","1966","Population Change since previous Census","Number","1051"
"Male","Meath","1966","Annual Rate of Population Increase","No. per 1000 Pop.","6.1"
"Male","Meath","1971","Population","Number","36977"
"Male","Meath","1971","Population Change since previous Census","Number","2100"
"Male","Meath","1971","Annual Rate of Population Increase","No. per 1000 Pop.","11.8"
"Male","Meath","1979","Population","Number","46704"
"Male","Meath","1979","Population Change since previous Census","Number","9727"
"Male","Meath","1979","Annual Rate of Population Increase","No. per 1000 Pop.","29.6"
"Male","Meath","1981","Population","Number","48957"
"Male","Meath","1981","Population Change since previous Census","Number","2253"
"Male","Meath","1981","Annual Rate of Population Increase","No. per 1000 Pop.","23.8"
"Male","Meath","1986","Population","Number","52931"
"Male","Meath","1986","Population Change since previous Census","Number","3974"
"Male","Meath","1986","Annual Rate of Population Increase","No. per 1000 Pop.","15.7"
"Male","Meath","1991","Population","Number","53291"
"Male","Meath","1991","Population Change since previous Census","Number","360"
"Male","Meath","1991","Annual Rate of Population Increase","No. per 1000 Pop.","1.4"
"Male","Meath","1996","Population","Number","55340"
"Male","Meath","1996","Population Change since previous Census","Number","2049"
"Male","Meath","1996","Annual Rate of Population Increase","No. per 1000 Pop.","7.6"
"Male","Meath","2002","Population","Number","67733"
"Male","Meath","2002","Population Change since previous Census","Number","12393"
"Male","Meath","2002","Annual Rate of Population Increase","No. per 1000 Pop.","34.3"
"Male","Meath","2006","Population","Number","82651"
"Male","Meath","2006","Population Change since previous Census","Number","14918"
"Male","Meath","2006","Annual Rate of Population Increase","No. per 1000 Pop.","51"
"Male","Meath","2011","Population","Number","91910"
"Male","Meath","2011","Population Change since previous Census","Number","9259"
"Male","Meath","2011","Annual Rate of Population Increase","No. per 1000 Pop.","21.2"
"Male","Meath","2016","Population","Number","96776"
"Male","Meath","2016","Population Change since previous Census","Number","4866"
"Male","Meath","2016","Annual Rate of Population Increase","No. per 1000 Pop.","10.3"
"Male","Offaly","1841","Population","Number","72651"
"Male","Offaly","1841","Population Change since previous Census","Number",""
"Male","Offaly","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Offaly","1851","Population","Number","55284"
"Male","Offaly","1851","Population Change since previous Census","Number","-17367"
"Male","Offaly","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-26.9"
"Male","Offaly","1861","Population","Number","45513"
"Male","Offaly","1861","Population Change since previous Census","Number","-9771"
"Male","Offaly","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-19.3"
"Male","Offaly","1871","Population","Number","38307"
"Male","Offaly","1871","Population Change since previous Census","Number","-7206"
"Male","Offaly","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-17.1"
"Male","Offaly","1881","Population","Number","37106"
"Male","Offaly","1881","Population Change since previous Census","Number","-1201"
"Male","Offaly","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-3.2"
"Male","Offaly","1891","Population","Number","33777"
"Male","Offaly","1891","Population Change since previous Census","Number","-3329"
"Male","Offaly","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-9.4"
"Male","Offaly","1901","Population","Number","31065"
"Male","Offaly","1901","Population Change since previous Census","Number","-2712"
"Male","Offaly","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.3"
"Male","Offaly","1911","Population","Number","29804"
"Male","Offaly","1911","Population Change since previous Census","Number","-1261"
"Male","Offaly","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-4.1"
"Male","Offaly","1926","Population","Number","27566"
"Male","Offaly","1926","Population Change since previous Census","Number","-2238"
"Male","Offaly","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Male","Offaly","1936","Population","Number","27555"
"Male","Offaly","1936","Population Change since previous Census","Number","-11"
"Male","Offaly","1936","Annual Rate of Population Increase","No. per 1000 Pop.","0"
"Male","Offaly","1946","Population","Number","29311"
"Male","Offaly","1946","Population Change since previous Census","Number","1756"
"Male","Offaly","1946","Annual Rate of Population Increase","No. per 1000 Pop.","6.2"
"Male","Offaly","1951","Population","Number","28306"
"Male","Offaly","1951","Population Change since previous Census","Number","-1005"
"Male","Offaly","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-7"
"Male","Offaly","1956","Population","Number","27591"
"Male","Offaly","1956","Population Change since previous Census","Number","-715"
"Male","Offaly","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-5.1"
"Male","Offaly","1961","Population","Number","27188"
"Male","Offaly","1961","Population Change since previous Census","Number","-403"
"Male","Offaly","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-2.9"
"Male","Offaly","1966","Population","Number","27007"
"Male","Offaly","1966","Population Change since previous Census","Number","-181"
"Male","Offaly","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-1.3"
"Male","Offaly","1971","Population","Number","27029"
"Male","Offaly","1971","Population Change since previous Census","Number","22"
"Male","Offaly","1971","Annual Rate of Population Increase","No. per 1000 Pop.","0.2"
"Male","Offaly","1979","Population","Number","29792"
"Male","Offaly","1979","Population Change since previous Census","Number","2763"
"Male","Offaly","1979","Annual Rate of Population Increase","No. per 1000 Pop.","12.2"
"Male","Offaly","1981","Population","Number","30290"
"Male","Offaly","1981","Population Change since previous Census","Number","498"
"Male","Offaly","1981","Annual Rate of Population Increase","No. per 1000 Pop.","8.3"
"Male","Offaly","1986","Population","Number","30819"
"Male","Offaly","1986","Population Change since previous Census","Number","529"
"Male","Offaly","1986","Annual Rate of Population Increase","No. per 1000 Pop.","3.5"
"Male","Offaly","1991","Population","Number","29892"
"Male","Offaly","1991","Population Change since previous Census","Number","-927"
"Male","Offaly","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-6.1"
"Male","Offaly","1996","Population","Number","30003"
"Male","Offaly","1996","Population Change since previous Census","Number","111"
"Male","Offaly","1996","Annual Rate of Population Increase","No. per 1000 Pop.","0.7"
"Male","Offaly","2002","Population","Number","32185"
"Male","Offaly","2002","Population Change since previous Census","Number","2182"
"Male","Offaly","2002","Annual Rate of Population Increase","No. per 1000 Pop.","11.8"
"Male","Offaly","2006","Population","Number","35937"
"Male","Offaly","2006","Population Change since previous Census","Number","3752"
"Male","Offaly","2006","Annual Rate of Population Increase","No. per 1000 Pop.","28"
"Male","Offaly","2011","Population","Number","38430"
"Male","Offaly","2011","Population Change since previous Census","Number","2493"
"Male","Offaly","2011","Annual Rate of Population Increase","No. per 1000 Pop.","13.4"
"Male","Offaly","2016","Population","Number","38838"
"Male","Offaly","2016","Population Change since previous Census","Number","408"
"Male","Offaly","2016","Annual Rate of Population Increase","No. per 1000 Pop.","2.1"
"Male","Westmeath","1841","Population","Number","70383"
"Male","Westmeath","1841","Population Change since previous Census","Number",""
"Male","Westmeath","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Westmeath","1851","Population","Number","56095"
"Male","Westmeath","1851","Population Change since previous Census","Number","-14288"
"Male","Westmeath","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-22.4"
"Male","Westmeath","1861","Population","Number","46218"
"Male","Westmeath","1861","Population Change since previous Census","Number","-9877"
"Male","Westmeath","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-19.2"
"Male","Westmeath","1871","Population","Number","39804"
"Male","Westmeath","1871","Population Change since previous Census","Number","-6414"
"Male","Westmeath","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-14.8"
"Male","Westmeath","1881","Population","Number","36478"
"Male","Westmeath","1881","Population Change since previous Census","Number","-3326"
"Male","Westmeath","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-8.7"
"Male","Westmeath","1891","Population","Number","33927"
"Male","Westmeath","1891","Population Change since previous Census","Number","-2551"
"Male","Westmeath","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-7.2"
"Male","Westmeath","1901","Population","Number","31880"
"Male","Westmeath","1901","Population Change since previous Census","Number","-2047"
"Male","Westmeath","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-6.2"
"Male","Westmeath","1911","Population","Number","31910"
"Male","Westmeath","1911","Population Change since previous Census","Number","30"
"Male","Westmeath","1911","Annual Rate of Population Increase","No. per 1000 Pop.","0.1"
"Male","Westmeath","1926","Population","Number","30151"
"Male","Westmeath","1926","Population Change since previous Census","Number","-1759"
"Male","Westmeath","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-3.8"
"Male","Westmeath","1936","Population","Number","29039"
"Male","Westmeath","1936","Population Change since previous Census","Number","-1112"
"Male","Westmeath","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-3.8"
"Male","Westmeath","1946","Population","Number","29058"
"Male","Westmeath","1946","Population Change since previous Census","Number","19"
"Male","Westmeath","1946","Annual Rate of Population Increase","No. per 1000 Pop.","0.1"
"Male","Westmeath","1951","Population","Number","28737"
"Male","Westmeath","1951","Population Change since previous Census","Number","-321"
"Male","Westmeath","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-2.2"
"Male","Westmeath","1956","Population","Number","28102"
"Male","Westmeath","1956","Population Change since previous Census","Number","-635"
"Male","Westmeath","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-4.5"
"Male","Westmeath","1961","Population","Number","27183"
"Male","Westmeath","1961","Population Change since previous Census","Number","-919"
"Male","Westmeath","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-6.6"
"Male","Westmeath","1966","Population","Number","27101"
"Male","Westmeath","1966","Population Change since previous Census","Number","-82"
"Male","Westmeath","1966","Annual Rate of Population Increase","No. per 1000 Pop.","-0.6"
"Male","Westmeath","1971","Population","Number","27544"
"Male","Westmeath","1971","Population Change since previous Census","Number","443"
"Male","Westmeath","1971","Annual Rate of Population Increase","No. per 1000 Pop.","3.2"
"Male","Westmeath","1979","Population","Number","30557"
"Male","Westmeath","1979","Population Change since previous Census","Number","3013"
"Male","Westmeath","1979","Annual Rate of Population Increase","No. per 1000 Pop.","13.1"
"Male","Westmeath","1981","Population","Number","31388"
"Male","Westmeath","1981","Population Change since previous Census","Number","831"
"Male","Westmeath","1981","Annual Rate of Population Increase","No. per 1000 Pop.","13.5"
"Male","Westmeath","1986","Population","Number","32048"
"Male","Westmeath","1986","Population Change since previous Census","Number","660"
"Male","Westmeath","1986","Annual Rate of Population Increase","No. per 1000 Pop.","4.2"
"Male","Westmeath","1991","Population","Number","31006"
"Male","Westmeath","1991","Population Change since previous Census","Number","-1042"
"Male","Westmeath","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-6.6"
"Male","Westmeath","1996","Population","Number","31599"
"Male","Westmeath","1996","Population Change since previous Census","Number","593"
"Male","Westmeath","1996","Annual Rate of Population Increase","No. per 1000 Pop.","3.8"
"Male","Westmeath","2002","Population","Number","35960"
"Male","Westmeath","2002","Population Change since previous Census","Number","4361"
"Male","Westmeath","2002","Annual Rate of Population Increase","No. per 1000 Pop.","21.8"
"Male","Westmeath","2006","Population","Number","39819"
"Male","Westmeath","2006","Population Change since previous Census","Number","3859"
"Male","Westmeath","2006","Annual Rate of Population Increase","No. per 1000 Pop.","25.8"
"Male","Westmeath","2011","Population","Number","42783"
"Male","Westmeath","2011","Population Change since previous Census","Number","2964"
"Male","Westmeath","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14.4"
"Male","Westmeath","2016","Population","Number","44082"
"Male","Westmeath","2016","Population Change since previous Census","Number","1299"
"Male","Westmeath","2016","Annual Rate of Population Increase","No. per 1000 Pop.","6"
"Male","Wexford","1841","Population","Number","97918"
"Male","Wexford","1841","Population Change since previous Census","Number",""
"Male","Wexford","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Wexford","1851","Population","Number","86938"
"Male","Wexford","1851","Population Change since previous Census","Number","-10980"
"Male","Wexford","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-11.8"
"Male","Wexford","1861","Population","Number","69104"
"Male","Wexford","1861","Population Change since previous Census","Number","-17834"
"Male","Wexford","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-22.7"
"Male","Wexford","1871","Population","Number","64199"
"Male","Wexford","1871","Population Change since previous Census","Number","-4905"
"Male","Wexford","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-7.3"
"Male","Wexford","1881","Population","Number","60928"
"Male","Wexford","1881","Population Change since previous Census","Number","-3271"
"Male","Wexford","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-5.2"
"Male","Wexford","1891","Population","Number","54935"
"Male","Wexford","1891","Population Change since previous Census","Number","-5993"
"Male","Wexford","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-10.3"
"Male","Wexford","1901","Population","Number","51756"
"Male","Wexford","1901","Population Change since previous Census","Number","-3179"
"Male","Wexford","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-5.9"
"Male","Wexford","1911","Population","Number","51568"
"Male","Wexford","1911","Population Change since previous Census","Number","-188"
"Male","Wexford","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-0.4"
"Male","Wexford","1926","Population","Number","48570"
"Male","Wexford","1926","Population Change since previous Census","Number","-2998"
"Male","Wexford","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4"
"Male","Wexford","1936","Population","Number","48577"
"Male","Wexford","1936","Population Change since previous Census","Number","7"
"Male","Wexford","1936","Annual Rate of Population Increase","No. per 1000 Pop.","0"
"Male","Wexford","1946","Population","Number","46611"
"Male","Wexford","1946","Population Change since previous Census","Number","-1966"
"Male","Wexford","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-4.1"
"Male","Wexford","1951","Population","Number","45945"
"Male","Wexford","1951","Population Change since previous Census","Number","-666"
"Male","Wexford","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-2.9"
"Male","Wexford","1956","Population","Number","44210"
"Male","Wexford","1956","Population Change since previous Census","Number","-1735"
"Male","Wexford","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-7.7"
"Male","Wexford","1961","Population","Number","42128"
"Male","Wexford","1961","Population Change since previous Census","Number","-2082"
"Male","Wexford","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-9.6"
"Male","Wexford","1966","Population","Number","42270"
"Male","Wexford","1966","Population Change since previous Census","Number","142"
"Male","Wexford","1966","Annual Rate of Population Increase","No. per 1000 Pop.","0.7"
"Male","Wexford","1971","Population","Number","43768"
"Male","Wexford","1971","Population Change since previous Census","Number","1498"
"Male","Wexford","1971","Annual Rate of Population Increase","No. per 1000 Pop.","7"
"Male","Wexford","1979","Population","Number","48974"
"Male","Wexford","1979","Population Change since previous Census","Number","5206"
"Male","Wexford","1979","Annual Rate of Population Increase","No. per 1000 Pop.","14.1"
"Male","Wexford","1981","Population","Number","50336"
"Male","Wexford","1981","Population Change since previous Census","Number","1362"
"Male","Wexford","1981","Annual Rate of Population Increase","No. per 1000 Pop.","13.8"
"Male","Wexford","1986","Population","Number","51782"
"Male","Wexford","1986","Population Change since previous Census","Number","1446"
"Male","Wexford","1986","Annual Rate of Population Increase","No. per 1000 Pop.","5.7"
"Male","Wexford","1991","Population","Number","51444"
"Male","Wexford","1991","Population Change since previous Census","Number","-338"
"Male","Wexford","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-1.3"
"Male","Wexford","1996","Population","Number","52432"
"Male","Wexford","1996","Population Change since previous Census","Number","988"
"Male","Wexford","1996","Annual Rate of Population Increase","No. per 1000 Pop.","3.8"
"Male","Wexford","2002","Population","Number","58170"
"Male","Wexford","2002","Population Change since previous Census","Number","5738"
"Male","Wexford","2002","Annual Rate of Population Increase","No. per 1000 Pop.","17.5"
"Male","Wexford","2006","Population","Number","66070"
"Male","Wexford","2006","Population Change since previous Census","Number","7900"
"Male","Wexford","2006","Annual Rate of Population Increase","No. per 1000 Pop.","32.3"
"Male","Wexford","2011","Population","Number","71909"
"Male","Wexford","2011","Population Change since previous Census","Number","5839"
"Male","Wexford","2011","Annual Rate of Population Increase","No. per 1000 Pop.","16.9"
"Male","Wexford","2016","Population","Number","73722"
"Male","Wexford","2016","Population Change since previous Census","Number","1813"
"Male","Wexford","2016","Annual Rate of Population Increase","No. per 1000 Pop.","5"
"Male","Wicklow","1841","Population","Number","63489"
"Male","Wicklow","1841","Population Change since previous Census","Number",""
"Male","Wicklow","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Wicklow","1851","Population","Number","50230"
"Male","Wicklow","1851","Population Change since previous Census","Number","-13259"
"Male","Wicklow","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-23.2"
"Male","Wicklow","1861","Population","Number","44122"
"Male","Wicklow","1861","Population Change since previous Census","Number","-6108"
"Male","Wicklow","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-12.9"
"Male","Wicklow","1871","Population","Number","39496"
"Male","Wicklow","1871","Population Change since previous Census","Number","-4626"
"Male","Wicklow","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-11"
"Male","Wicklow","1881","Population","Number","35101"
"Male","Wicklow","1881","Population Change since previous Census","Number","-4395"
"Male","Wicklow","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-11.7"
"Male","Wicklow","1891","Population","Number","31054"
"Male","Wicklow","1891","Population Change since previous Census","Number","-4047"
"Male","Wicklow","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-12.2"
"Male","Wicklow","1901","Population","Number","30584"
"Male","Wicklow","1901","Population Change since previous Census","Number","-470"
"Male","Wicklow","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-1.5"
"Male","Wicklow","1911","Population","Number","31113"
"Male","Wicklow","1911","Population Change since previous Census","Number","529"
"Male","Wicklow","1911","Annual Rate of Population Increase","No. per 1000 Pop.","1.7"
"Male","Wicklow","1926","Population","Number","28911"
"Male","Wicklow","1926","Population Change since previous Census","Number","-2202"
"Male","Wicklow","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.9"
"Male","Wicklow","1936","Population","Number","29868"
"Male","Wicklow","1936","Population Change since previous Census","Number","957"
"Male","Wicklow","1936","Annual Rate of Population Increase","No. per 1000 Pop.","3.3"
"Male","Wicklow","1946","Population","Number","30152"
"Male","Wicklow","1946","Population Change since previous Census","Number","284"
"Male","Wicklow","1946","Annual Rate of Population Increase","No. per 1000 Pop.","0.9"
"Male","Wicklow","1951","Population","Number","31587"
"Male","Wicklow","1951","Population Change since previous Census","Number","1435"
"Male","Wicklow","1951","Annual Rate of Population Increase","No. per 1000 Pop.","9.3"
"Male","Wicklow","1956","Population","Number","29933"
"Male","Wicklow","1956","Population Change since previous Census","Number","-1654"
"Male","Wicklow","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-10.7"
"Male","Wicklow","1961","Population","Number","29150"
"Male","Wicklow","1961","Population Change since previous Census","Number","-783"
"Male","Wicklow","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-5.3"
"Male","Wicklow","1966","Population","Number","30231"
"Male","Wicklow","1966","Population Change since previous Census","Number","1081"
"Male","Wicklow","1966","Annual Rate of Population Increase","No. per 1000 Pop.","7.3"
"Male","Wicklow","1971","Population","Number","33318"
"Male","Wicklow","1971","Population Change since previous Census","Number","3087"
"Male","Wicklow","1971","Annual Rate of Population Increase","No. per 1000 Pop.","19.6"
"Male","Wicklow","1979","Population","Number","41969"
"Male","Wicklow","1979","Population Change since previous Census","Number","8651"
"Male","Wicklow","1979","Annual Rate of Population Increase","No. per 1000 Pop.","29.3"
"Male","Wicklow","1981","Population","Number","43663"
"Male","Wicklow","1981","Population Change since previous Census","Number","1694"
"Male","Wicklow","1981","Annual Rate of Population Increase","No. per 1000 Pop.","20"
"Male","Wicklow","1986","Population","Number","46980"
"Male","Wicklow","1986","Population Change since previous Census","Number","3317"
"Male","Wicklow","1986","Annual Rate of Population Increase","No. per 1000 Pop.","14.8"
"Male","Wicklow","1991","Population","Number","48076"
"Male","Wicklow","1991","Population Change since previous Census","Number","1096"
"Male","Wicklow","1991","Annual Rate of Population Increase","No. per 1000 Pop.","4.6"
"Male","Wicklow","1996","Population","Number","50823"
"Male","Wicklow","1996","Population Change since previous Census","Number","2747"
"Male","Wicklow","1996","Annual Rate of Population Increase","No. per 1000 Pop.","11.2"
"Male","Wicklow","2002","Population","Number","56800"
"Male","Wicklow","2002","Population Change since previous Census","Number","5977"
"Male","Wicklow","2002","Annual Rate of Population Increase","No. per 1000 Pop.","18.7"
"Male","Wicklow","2006","Population","Number","62905"
"Male","Wicklow","2006","Population Change since previous Census","Number","6105"
"Male","Wicklow","2006","Annual Rate of Population Increase","No. per 1000 Pop.","25.9"
"Male","Wicklow","2011","Population","Number","67542"
"Male","Wicklow","2011","Population Change since previous Census","Number","4637"
"Male","Wicklow","2011","Annual Rate of Population Increase","No. per 1000 Pop.","14.2"
"Male","Wicklow","2016","Population","Number","70156"
"Male","Wicklow","2016","Population Change since previous Census","Number","2614"
"Male","Wicklow","2016","Annual Rate of Population Increase","No. per 1000 Pop.","7.6"
"Male","Munster","1841","Population","Number","1186190"
"Male","Munster","1841","Population Change since previous Census","Number",""
"Male","Munster","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Munster","1851","Population","Number","904979"
"Male","Munster","1851","Population Change since previous Census","Number","-281211"
"Male","Munster","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-26.7"
"Male","Munster","1861","Population","Number","744682"
"Male","Munster","1861","Population Change since previous Census","Number","-160297"
"Male","Munster","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-19.3"
"Male","Munster","1871","Population","Number","686106"
"Male","Munster","1871","Population Change since previous Census","Number","-58576"
"Male","Munster","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-8.2"
"Male","Munster","1881","Population","Number","659994"
"Male","Munster","1881","Population Change since previous Census","Number","-26112"
"Male","Munster","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-3.9"
"Male","Munster","1891","Population","Number","587611"
"Male","Munster","1891","Population Change since previous Census","Number","-72383"
"Male","Munster","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-11.5"
"Male","Munster","1901","Population","Number","540970"
"Male","Munster","1901","Population Change since previous Census","Number","-46641"
"Male","Munster","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-8.2"
"Male","Munster","1911","Population","Number","526130"
"Male","Munster","1911","Population Change since previous Census","Number","-14840"
"Male","Munster","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-2.8"
"Male","Munster","1926","Population","Number","493628"
"Male","Munster","1926","Population Change since previous Census","Number","-32502"
"Male","Munster","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.2"
"Male","Munster","1936","Population","Number","485412"
"Male","Munster","1936","Population Change since previous Census","Number","-8216"
"Male","Munster","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-1.7"
"Male","Munster","1946","Population","Number","467698"
"Male","Munster","1946","Population Change since previous Census","Number","-17714"
"Male","Munster","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-3.7"
"Male","Munster","1951","Population","Number","460365"
"Male","Munster","1951","Population Change since previous Census","Number","-7333"
"Male","Munster","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-3.2"
"Male","Munster","1956","Population","Number","446782"
"Male","Munster","1956","Population Change since previous Census","Number","-13583"
"Male","Munster","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-6"
"Male","Munster","1961","Population","Number","431292"
"Male","Munster","1961","Population Change since previous Census","Number","-15490"
"Male","Munster","1961","Annual Rate of Population Increase","No. per 1000 Pop.","-7"
"Male","Munster","1966","Population","Number","436368"
"Male","Munster","1966","Population Change since previous Census","Number","5076"
"Male","Munster","1966","Annual Rate of Population Increase","No. per 1000 Pop.","2.3"
"Male","Munster","1971","Population","Number","447271"
"Male","Munster","1971","Population Change since previous Census","Number","10903"
"Male","Munster","1971","Annual Rate of Population Increase","No. per 1000 Pop.","4.9"
"Male","Munster","1979","Population","Number","497411"
"Male","Munster","1979","Population Change since previous Census","Number","50140"
"Male","Munster","1979","Annual Rate of Population Increase","No. per 1000 Pop.","13.4"
"Male","Munster","1981","Population","Number","506857"
"Male","Munster","1981","Population Change since previous Census","Number","9446"
"Male","Munster","1981","Annual Rate of Population Increase","No. per 1000 Pop.","9.5"
"Male","Munster","1986","Population","Number","514708"
"Male","Munster","1986","Population Change since previous Census","Number","7851"
"Male","Munster","1986","Annual Rate of Population Increase","No. per 1000 Pop.","3.1"
"Male","Munster","1991","Population","Number","507095"
"Male","Munster","1991","Population Change since previous Census","Number","-7613"
"Male","Munster","1991","Annual Rate of Population Increase","No. per 1000 Pop.","-3"
"Male","Munster","1996","Population","Number","518217"
"Male","Munster","1996","Population Change since previous Census","Number","11122"
"Male","Munster","1996","Annual Rate of Population Increase","No. per 1000 Pop.","4.3"
"Male","Munster","2002","Population","Number","550118"
"Male","Munster","2002","Population Change since previous Census","Number","31901"
"Male","Munster","2002","Annual Rate of Population Increase","No. per 1000 Pop.","10"
"Male","Munster","2006","Population","Number","589933"
"Male","Munster","2006","Population Change since previous Census","Number","39815"
"Male","Munster","2006","Annual Rate of Population Increase","No. per 1000 Pop.","17.6"
"Male","Munster","2011","Population","Number","620260"
"Male","Munster","2011","Population Change since previous Census","Number","30327"
"Male","Munster","2011","Annual Rate of Population Increase","No. per 1000 Pop.","10"
"Male","Munster","2016","Population","Number","635174"
"Male","Munster","2016","Population Change since previous Census","Number","14914"
"Male","Munster","2016","Annual Rate of Population Increase","No. per 1000 Pop.","4.8"
"Male","Clare","1841","Population","Number","144109"
"Male","Clare","1841","Population Change since previous Census","Number",""
"Male","Clare","1841","Annual Rate of Population Increase","No. per 1000 Pop.",""
"Male","Clare","1851","Population","Number","103953"
"Male","Clare","1851","Population Change since previous Census","Number","-40156"
"Male","Clare","1851","Annual Rate of Population Increase","No. per 1000 Pop.","-32.1"
"Male","Clare","1861","Population","Number","82541"
"Male","Clare","1861","Population Change since previous Census","Number","-21412"
"Male","Clare","1861","Annual Rate of Population Increase","No. per 1000 Pop.","-22.8"
"Male","Clare","1871","Population","Number","73442"
"Male","Clare","1871","Population Change since previous Census","Number","-9099"
"Male","Clare","1871","Annual Rate of Population Increase","No. per 1000 Pop.","-11.6"
"Male","Clare","1881","Population","Number","71058"
"Male","Clare","1881","Population Change since previous Census","Number","-2384"
"Male","Clare","1881","Annual Rate of Population Increase","No. per 1000 Pop.","-3.3"
"Male","Clare","1891","Population","Number","63138"
"Male","Clare","1891","Population Change since previous Census","Number","-7920"
"Male","Clare","1891","Annual Rate of Population Increase","No. per 1000 Pop.","-11.7"
"Male","Clare","1901","Population","Number","57386"
"Male","Clare","1901","Population Change since previous Census","Number","-5752"
"Male","Clare","1901","Annual Rate of Population Increase","No. per 1000 Pop.","-9.5"
"Male","Clare","1911","Population","Number","53877"
"Male","Clare","1911","Population Change since previous Census","Number","-3509"
"Male","Clare","1911","Annual Rate of Population Increase","No. per 1000 Pop.","-6.3"
"Male","Clare","1926","Population","Number","50071"
"Male","Clare","1926","Population Change since previous Census","Number","-3806"
"Male","Clare","1926","Annual Rate of Population Increase","No. per 1000 Pop.","-4.9"
"Male","Clare","1936","Population","Number","47957"
"Male","Clare","1936","Population Change since previous Census","Number","-2114"
"Male","Clare","1936","Annual Rate of Population Increase","No. per 1000 Pop.","-4.3"
"Male","Clare","1946","Population","Number","45350"
"Male","Clare","1946","Population Change since previous Census","Number","-2607"
"Male","Clare","1946","Annual Rate of Population Increase","No. per 1000 Pop.","-5.6"
"Male","Clare","1951","Population","Number","43473"
"Male","Clare","1951","Population Change since previous Census","Number","-1877"
"Male","Clare","1951","Annual Rate of Population Increase","No. per 1000 Pop.","-8.4"
"Male","Clare","1956","Population","Number","40868"
"Male","Clare","1956","Population Change since previous Census","Number","-2605"
"Male","Clare","1956","Annual Rate of Population Increase","No. per 1000 Pop.","-12.3"
"Male","Clare","1961","Population","Number","38904"
"Male","Clare","1961","Population Change since previous Census","Number","-1964"
